INFO 2020-12-21 12:04:20,591 autoreload Watching for file changes with StatReloader
WARNING 2020-12-21 12:58:21,122 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:59:43,169 basehttp "GET /greetings/list/ HTTP/1.1" 200 9059
WARNING 2020-12-21 12:59:43,351 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:59:43,351 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:59:44,231 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:59:44,232 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:59:45,382 basehttp "GET /greetings/ HTTP/1.1" 200 3710
INFO 2020-12-21 13:00:33,051 basehttp "GET /greetings/ HTTP/1.1" 200 3708
INFO 2020-12-21 13:00:37,358 basehttp "GET /greetings/list/ HTTP/1.1" 200 9057
WARNING 2020-12-21 13:00:37,477 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 13:00:37,478 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 13:00:37,773 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 13:00:37,774 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
